OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
185,Burtigny,1268,1268,VD,22,5854,0,2,0,2409,83.022,0,24858081.2958984,28682.0299660386,11800746.4265137,19753.2450991636
186,Bassins,1269,1269,VD,22,5703,0,0,0,1362,0,0,43672970.3825684,40451.1130287292,20710267.0400391,27853.3737026155
187,Trélex,1270,1270,VD,22,5730,0,0,0,1429,0,0,12190766.2380371,17651.7994586479,5796057.11474609,12171.4133347028
188,Givrins,1271,1271,VD,22,5720,0,0,0,1034,0,0,8365779.08496094,18111.7533962567,3975399.80273438,12488.1457978839
189,Genolier,1272,1272,VD,22,5718,0,1,0,1960,51.02041,0,10190416.552002,16541.9581198278,4841936.25073242,11403.1776000316
190,Arzier-Le Muids,1273,1273,VD,22,5702,0,0,0,2728,0,0,101893535.390137,66765.9001623509,48321960.1384277,45982.2089416727
191,Signy-Centre,1274,1274,VD,22,5728,0,0,0,1024,0,0,9317286.51196289,17005.6760365382,4433798.51025391,11730.7013946053
192,Chéserex,1275,1275,VD,22,5709,0,0,0,1274,0,0,22216261.685791,29827.6813154212,10565704.1633301,20572.2776679693
193,Gingins,1276,1276,VD,22,5719,0,0,0,1205,0,0,27327521.140625,37726.3454901296,12989293.1733398,26017.4441147312
194,Borex,1277,1277,VD,22,5706,0,0,0,1305,0,0,8503904.71362305,16607.7830250631,4049379.69946289,11459.3617625163
195,La Rippe,1278,1278,VD,22,5726,0,0,0,1175,0,0,34757275.7045898,35458.1766841836,16532236.0766602,24458.8410552543
196,Chavannes-de-Bogis OLS,1279,1279,VD,22,5707,0,0,0,2154,0,0,11164814.5610352,23199.3394680808,5322415.8034668,16016.3343417164
197,Russin,1281,1281,GE,25,6637,0,0,0,553,0,0,10297186.5847168,17042.1836262436,4936327.98144531,11797.1781055717
198,Dardagny,1283,1283,GE,25,6620,0,0,0,1866,0,0,17791954.9821777,24303.0739084029,8527743.46972656,16824.5769977676
199,Chancy,1284,1284,GE,25,6611,0,0,0,1696,0,0,11037157.0666504,19615.9946333726,5300112.25585938,13590.8146300004
200,Athenaz (Avusy),1285,1285,GE,25,6604,0,0,0,1436,0,0,10870174.9746094,17279.7786818345,5219503.06445313,11978.4521609307
201,Soral,1286,1286,GE,25,6639,0,0,0,854,0,0,6196033.16796875,16932.1465730774,2975279.38696289,11734.4943378074
202,Laconnex,1287,1287,GE,25,6627,0,0,0,701,0,0,8031967.59326172,12839.1209392793,3855402.58227539,8895.88324974686
203,Aire-la-Ville,1288,1288,GE,25,6601,0,0,0,1175,0,0,6034690.66308594,11360.7107209078,2893357.02636719,7868.8726236437
204,Versoix,1290,1290,GE,25,6644,0,1,0,14256,7.01459,0,36868998.2001953,35483.0393603819,17611951.6716309,24524.4589589367
205,Commugny,1291,1291,VD,22,5711,0,0,0,3098,0,0,13666283.4794922,19950.5898297313,6520363.62133789,13782.6400098514
206,Chambésy,1292,1292,GE,25,6634,0,0,0,3807,0,0,12929413.3444824,17973.4588611176,6188338.12573242,12436.6396472266
207,Bellevue,1293,1293,GE,25,6606,0,0,0,3695,0,0,13066614.0556641,21180.828291439,6250097.09594727,14652.5059397708
208,Genthod,1294,1294,GE,25,6622,0,0,0,2447,0,0,11138300.0913086,15111.0566132551,5326012.79833984,10452.4227198184
209,Mies,1295,1295,VD,22,5723,0,0,0,3841,0,0,21643668.0063477,21304.0806478444,10334385.6567383,14726.4120388348
210,Coppet,1296,1296,VD,22,5712,0,0,0,2843,0,0,12164968.4094238,16375.2036080893,5805560.19360352,11316.687874898
211,Founex,1297,1297,VD,22,5717,0,0,0,3734,0,0,17075065.84375,21432.7968202469,8143840.22265625,14806.5129996379
